"","Block_Nummer","Block_Einwohnerzahl","Wahlbezirk_Nummer","Wahlbezirk_Bloeckezahl","Wahlbezirk_Einwohnerzahl","Wahlbezirk_Uebervoelkert","Block_Nachbar_1","Block_Nachbar_2","Block_Nachbar_3","Block_Nachbar_4","Block_Nachbar_5","Block_Nachbar_6","Block_Nachbar_7","Block_Nachbar_8","Block_Nachbar_9","Block_Nachbar_10","Block_Nachbar_11","Block_Nachbar_12","Block_Nachbar_13","Block_Nachbar_1_Wahlbezirk","Block_Nachbar_2_Wahlbezirk","Block_Nachbar_3_Wahlbezirk","Block_Nachbar_4_Wahlbezirk","Block_Nachbar_5_Wahlbezirk","Block_Nachbar_6_Wahlbezirk","Block_Nachbar_7_Wahlbezirk","Block_Nachbar_8_Wahlbezirk","Block_Nachbar_9_Wahlbezirk","Block_Nachbar_10_Wahlbezirk","Block_Nachbar_11_Wahlbezirk","Block_Nachbar_12_Wahlbezirk","Block_Nachbar_13_Wahlbezirk","Optimized_Wahlbezirk_1","Optimized_Wahlbezirk_2","Optimized_Wahlbezirk_3","Optimized_Wahlbezirk_4","Optimized_Wahlbezirk_5","Optimized_Wahlbezirk_6"
"1","061313",235,"1444",7,2051,0,"061315","061314","061303","061304","061317",NA,NA,NA,NA,NA,NA,NA,NA,"1444","1444","1444","1444","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","074023",127,"1405",22,2308,0,"074024","074022","074011","074012","074045","074046","074047",NA,NA,NA,NA,NA,NA,"1405","1405","1405","1405","1405","1405","1405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","054217",208,"1442",7,2239,0,"054208","054209","054210","054215","054216","054218",NA,NA,NA,NA,NA,NA,NA,"1442","1442","1442","1442","1442","1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","074024",92,"1405",22,2308,0,"074023","074025","074011","074012","074013","074046","074047","074049",NA,NA,NA,NA,NA,"1405","1405","1405","1405","1405","1405","1405","1405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","055081",901,"1451",4,2324,0,"054131","054132","054082","055080","055104","056056",NA,NA,NA,NA,NA,NA,NA,"1505","1505","1451","1451","1451","1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","055091",269,"1421",10,2287,0,"055092","055065","055108","055110",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1421","1438","1421","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","055092",94,"1421",10,2287,0,"055091","055065","055066","055110","055612",NA,NA,NA,NA,NA,NA,NA,NA,"1421","1438","1438","1421","1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","055097",396,"1427",7,2255,0,"055098","055099","055068","055074","055075","055115","055116","055117","055614","055615",NA,NA,NA,"1470","1427","1438","1438","1470","1427","1427","1427","1427","1427",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","074025",94,"1405",22,2308,0,"074024","074026","074008","074012","074013","074047","074049","074051",NA,NA,NA,NA,NA,"1405","1405","1405","1405","1405","1405","1405","1405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","074053",119,"1418",23,2367,0,"074051","074052","074054","074058","074059","074076",NA,NA,NA,NA,NA,NA,NA,"1405","1418","1418","1388","1388","1388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
